finding_id,theme,type,statement,example,relations
F023,Transition,enabler,Government counterparts engage more readily when transition is presented as a phased process with continued support than as a transfer date. Some prefer the arrangement not be written down at all.,"Somalia: ministry counterparts were hesitant while they expected an imminent transfer, and engaged once it was framed as phased.",
F030,ABC,practice,Partners keep reporting to the cluster even where area structures exist. Area structures collect assessment and prioritisation information; response reporting stays with the cluster.,South Sudan: partners approach the area structures only when they have a gap to fill.,
F045,ABC,context,Area-based arrangements are being introduced without the cluster taking part in the design. In one context it was presented as a permanent replacement. In another it was missing from revised cluster terms of reference because nobody asked.,"Myanmar: the architecture is presented as a permanent replacement rather than a transitional arrangement, which changes what is at stake in getting the design right.",
F1005,ABC;Transition,barrier,Joint intersectoral assessments cap how many indicators each sector may include. Adding a WASH measure means removing another sector's question rather than making the survey longer.,"Bangladesh: the sector negotiated its cap up from five indicators to about ten, and the ceiling still constrains what can be measured.",
F619,ABC,barrier,"Geographic prioritisation works against the objective where need is dispersed or the trigger is an outbreak. Prepositioned stock has to reach any pocket of need, and outbreak funding envelopes have excluded WASH while covering other sectors.","South Sudan: one continuity-of-services envelope covered nutrition, health, protection and food security in cholera and hepatitis E areas without including WASH.",
F807,ABC,barrier,"Partners have not started reporting to the central platform because no one can tell them whether it applies yet. Sectors have been told it is a pilot, or to carry on with existing collection, so two systems run and neither is authoritative.",Mali: training has taken place but sectors were told to continue existing collection.,
F261,ABC,enabler,Running coordination in the local language changed the quality of participation. Local actors raised issues and set priorities in ways a national-language meeting did not allow.,,
F1940,ABC,barrier,"Clusters are being asked to operate area-based arrangements they were excluded from designing. In one context the inter-cluster group rejected the model and the humanitarian country team went ahead anyway. In another, clusters were left out of the information gathering and then asked to confirm the result.",,
F1941,ABC,barrier,"Information about area-based pilots is not routinely shared with the clusters expected to work alongside them, and coordinators describe the silence rather than the change itself as what generates rumour and mistrust.",,
F1942,ABC,recommendation,"Keep area-based structures on operational matters and connected to the sectoral strategic approach, rather than letting them take on strategy in parallel.",,
F1943,Fundamentals,context,Coordination between sectors has stayed the unresolved problem even where coordination inside them improved. Inter-cluster groups exist in most responses and are widely judged weak.,,
F1944,ABC,enabler,"Allocating pooled funds by area rather than by sector doubled the share reaching national NGOs, cut review times to a week, and replaced a hundred competing proposals with twenty-two jointly designed ones.",Sudan: area-based allocations reached 60 per cent of all fund disbursement within a year and became the dominant modality.,
F1945,Fundamentals,practice,"Where standard compliance would have stopped funding reaching local responders, funds relaxed the requirements deliberately rather than waiving them: tiered micro-grants needing no clearance below a threshold, temporary capacity assessments, flexible reporting, and alternative transfer arrangements.","Sudan: community responders could draw up to $5,000 without clearance and $20,000 with light-touch approval, funding projects in days rather than months.",
F1950,Transition,enabler,"What makes a successor structure last is recurring operational necessity, not its form. Bodies facing a predictable annual hazard cycle keep a stable secretariat and survive changes of government. Those attached to political arrangements rise and fall with the politics.","Latin America: sub-regional mechanisms in hurricane-exposed areas kept working through repeated changes of administration, while those tied to political integration bodies lapsed as member states left or priorities shifted.",
F1951,Fundamentals,context,A coordination architecture can be asked to hold with very little funding behind it. One region received 2.64 per cent of global pooled humanitarian funding in a year while donors were reducing their presence there.,,
F1952,ABC,barrier,"Partners concentrate where access is easiest and compete for the same reachable locations, leaving remote communities uncovered. Geographic targeting fails through the accumulation of individually rational choices rather than through a bad plan.","Honduras: partners working along the roadside rather than moving into more distant communities, and competing for the accessible ground.",
F1953,ABC,barrier,"Independent geographic mapping by two agencies produces overlap that only surfaces at implementation. Resolving it costs coverage as well as time, because one agency withdraws from facilities it had already committed to.","Honduras: two UN agencies mapped the same municipalities; the WASH response withdrew from several health facilities, delaying implementation.",
F1954,Transition,practice,"Where a government emergency system has already convened a platform and mapped the caseload, the response can attach to that mapping as a complement instead of running its own targeting.","Honduras: a drought platform convened inside the national emergency system, with the WASH response inserting itself against the government's own mapping of affected producers.",qualifies:F304
F1955,Fundamentals,barrier,"A general messaging group used as the platform's only information channel collapses every audience and every purpose into one stream, so nothing can be aimed and nothing can be prioritised.","Honduras: a WhatsApp group carrying anything sector-related, identified by the coordination lead as the thing to replace.",
F1956,ABC,barrier,"Where partners join an area structure expecting access to funding, attendance collapses once they learn it is not a funding route. Reported participation is then not evidence that the coordination itself was wanted.",Iraq: participation in area-based coordination groups declined sharply once it was clear they were not a direct resource mobilisation source.,
F1957,ABC;Transition,practice,"An area-based structure can be handed to government rather than closed: replaced by forums chaired by the governor's office, with secretariat support transferring from a UN mission to a government body.","Iraq: most area-based coordination groups abolished in 2024 in favour of Joint Coordination Forums chaired by governors, secretariat handed to a government body in 2025.",
F1958,Transition,enabler,"Transitions built incrementally over years produce arrangements that hold. Those completed to a deadline fragment. The same study found national leadership sustained after a decade-long shift, and coordination scattered two and a half years after a one-year deactivation.","Indonesia and Iraq, compared directly in one study.",qualifies:F333
F1959,ABC,context,"Area-based coordination is contracting and concentrating at once: reported by 52 per cent of operations in 2024 against 71 per cent the year before, while the locations it covers rose from 175 to 216.","Several operations including Burkina Faso, Chad and Niger stopped reporting area-based coordination altogether.",
F1960,Fundamentals,enabler,"Local and national NGO leadership of coordination is measurable rather than aspirational: cluster leadership roles in fifteen operations, and parity with donors in humanitarian country team seats.","Twelve per cent of HCT seats, and national NGO participation in 56 per cent of inter-cluster groups.",
F1727,ABC;Fundamentals,barrier,"A cluster lead that holds funding or operational responsibility inside its own agency, and also the mandate to coordinate that agency's work, carries a built-in conflict of interest. That is a separate problem from the workload usually raised about double-hatting.",,
F419,ABC;Transition,context,"Area-based coordination is a way of organising coordination, not an endpoint for transition. Handing cluster functions to area structures without keeping technical custody somewhere reproduces the risks both reviews documented.",,
F230,ABC;Transition,recommendation,"A coordination performance review should ask partners, organisations and ministries how the sector has worked, rather than the coordination team assessing itself. Evidence gathered that way can support the case for what needs to change.",,
F316,Transition,enabler,"An information management post was requested inside the line ministry so that government holds its own capacity, co-leads the function, and helps define what the role covers before the handover.",,
F053,ABC;Transition,barrier,"Vulnerability analysis presented previously was not taken up by partners. The framework was not widely understood, and what it prioritised did not always match what partners saw in the field.",,
F415,Transition,barrier,Humanitarian actors work in short funding cycles while development actors hold the long-term money. That mismatch sits behind most failed handovers.,,
F111,Transition,recommendation,"Work with OCHA on transparent deactivation criteria. Coordination structures are formally reviewed each year. Making that review systematic, and publishing the criteria behind deactivation decisions, would give countries a predictable basis for planning.",,
F114,Transition,recommendation,"Map development actors as transition counterparts. Identify actors in the wider WASH sector — development programmes, national utilities, development banks and international financial institutions — with the technical skills, funding horizon and field presence to absorb part of what the cluster does.",,
F118,Transition,recommendation,"Where sub-sector mandates are split across ministries, negotiate explicit custody for hygiene and water quality. Promote one-WASH programme approaches — joint plans, budgets and pooled funds across water, sanitation and hygiene — as the counterweight to that split.",,
F1726,Fundamentals,context,"Funding this year is comparatively strong, with roughly two thirds of the appeal secured. A further pooled fund allocation is under way and the sector is advocating for its share.",,
F1906,Fundamentals,context,A sudden-onset disaster made national authorities more willing to meet coordination structures than they had been for years. That engagement window predates the new arrivals rather than being created by them.,,
F201,ABC,barrier,"Dedicated structures had to be created — a drought strategic working group, community resource centres — which shows the existing coordination systems could not support integrated multi-sector assistance.",,
F215,ABC,barrier,"Area-based structures develop different approaches to needs assessment: different survey methods, different indicators, different analytical thresholds. Data stops being comparable and aggregated analysis becomes limited.",,
F216,ABC,barrier,"There is no common technical validation mechanism, including no consistent application of severity thresholds or area-level assessment criteria.",,
F232,ABC,context,"An area-based structure secured a technically correct standard that the cluster had not managed to advance through advocacy. The right outcome, reached outside the cluster's technical channels, shows both the potential and the missing escalation route.",,
F245,ABC,barrier,"Indicators and assessment methods that do not suit specialised responses, including cholera and public health, have been applied in area-based settings.",,
F254,ABC,barrier,"Localising coordination brings uneven technical capacity at subnational level, inconsistent quality assurance between areas, and exposure of coordination priorities to local political dynamics.",,
F267,ABC,enabler,"Area-based coordination can work as a platform for cross-sector collaboration and nexus integration, where the coordination mechanisms are clearly defined and operationally supported.",,
F270,ABC,enabler,Area-based platforms allowed delivery to be tracked in real time against population needs and preferences.,,
F271,ABC,practice,"Skilled mobile outreach teams with mixed skill sets, working closely with all communities and population groups, give community feedback a concrete route back into the response.",,
F370,Transition,recommendation,"Ministry-by-ministry engagement fails without instruction from the top. Work through the inter-cluster group, OCHA and the humanitarian or resident coordinator to obtain senior government direction for the transition, and engage the UNICEF Representative early on the cluster lead agency's continuing accountability.",,
F372,Transition,barrier,Government directives on camp closure forced premature returns. State documentation and assistance frameworks excluded families with perceived affiliations.,,
F505,Transition,context,"The separate refugee and migrant response plan is being discontinued and merged into a single response plan. Refugees and migrants are included only where they intend to remain, and no regional refugee plan will follow.",,
F614,ABC;Transition,barrier,"Outbreak coordination cannot be run nationally because epidemiological information is too fragmented to arrive in time. It has to be organised state by state, which in practice means coordinating eighteen separate outbreaks, each with its own data, partners and supply chains.",,
F622,ABC;Transition,barrier,"The pooled fund grant management system offers outputs and indicators structured only around water, sanitation and hygiene, with no public health framing. That makes an outbreak response hard to fit into the reporting structure, and can push otherwise appropriate activities out of scope.",,
F626,ABC;Transition,practice,"A six-month cluster report brings response progress, coordination progress, financial status, the core supply pipeline, a facility assessment and partner case studies together in a single product.",,
F804,Transition,practice,A donor delegation met the cluster to discuss strategic priorities and advised that proposals emphasise environmental impact assessment and the donor's four environmental priority areas. The cluster is now building that into partner capacity building and its advocacy strategy.,,
F901,Transition,barrier,"Under the transition design, water establishments were to chair subnational meetings and follow up referrals on the stabilisation side. In practice their participation in those meetings has been minimal.",,
F902,Transition,barrier,"International NGOs withdrew from subnational coordination during the emergency, and the lead agency had to fund positions so local NGOs could keep the structure running.",,
F904,ABC,context,"Area groups vary considerably in how proactive they are, and some pursue positions at odds with their own central counterparts.",,
